o: ok	x: distinct	?: unsure																								
Total: 30 pairs																										
Annotator1	Annotator2	Annotator3	Annotator4	Annotator5	Annotator6	Comments	Entity1	Entity2	Entity1 more information	Entity2 more information																
	o		?		o		Carnegie Institution for Science 6.5m Walter Baade Telescope at Las Campanas Observatory	Walter Baade Telescope at Las Campanas Observatory https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.magellan_baade_6m5_1.0.xml	Carnegie Institution for Science 6.5m Walter Baade Telescope at Las Campanas Observatory. Is part of: las-campanas-observatory. Location: South America. Also known as: Carnegie Institution for Science (CIS) 6.5m Walter Baade Telescope at Las Campanas Observatory (LCO), Carnegie Institution for Science (CIS) 6.5m Walter Baade Telescope. Code: Magellan:Baade. Continent: South America. Continent code: SA. Size: 6.5m. Waveband: infrared, optical.	Walter Baade Telescope at Las Campanas Observatory. Description: The Walter Baade telescope is one of a twin pair (with the Landon T. Clay) located on Cerro Manqui at Las Campanas Observatory. The primary mirror is an f/1.25 parabaloid with a honeycomb internal structure to reduce weight. The telescope optics include active controls, including correction of low-order aberrations by controlling the figure of the primary mirror.. Is part of: las-campanas-observatory. Code: urn:nasa:pds:context:telescope:las_campanas.magellan_baade_6m5. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.magellan_baade_6m5_1.0.xml. Altitude: 2400. Aperture: 6.5.																
	o		?		o	host observatory mismatch. Erroneous reference to Hawaii in entity1 description?	National Autonomous University of Mexico 2.12m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir	2.12-m Ritchey-Chretien reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.2m12_1.0.xml	National Autonomous University of Mexico 2.12m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir. Is part of: el-observatorio-astronomico-nacional-sierra-san-pedro-martir. Location: North America, Hawaii. Also known as: National Autonomous University of Mexico (UNAM) 2.12m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir (OAN/SPM), National Autonomous University of Mexico (UNAM) 2.12m Telescope. Code: OANSPM:2.1m. Continent: North America. Continent code: NA. Size: 2.12m. Waveband: infrared, optical.	2.12-m Ritchey-Chretien reflector. Description: The 2.12-m Ritchey-Chretien reflector is a 2.12 m telescope located at 31.043888, 244.536949 at the National Astronomical Observatory-Ensenada. The Instituto de Astronomia at Ensenada, Mexico, operates the 2.1m, Ritchey-Chretien reflector telescope at the Observatorio Astronomico Nacional - San Pedro Martir facility located on the summit of the San Pedro Martir Sierra on the Baja California peninsula of Mexico. Built between 1974 and 1979, the telescope features secondaries of f/7.5, f/13.5, or f/30 and has. Is part of: national-astronomical-observatory-ensenada. Latitude: 31.043888. Location: Earth. Longitude: 244.536949. Code: urn:nasa:pds:context:telescope:ensenada.2m12. Continent: North America. Address: Observatorio San Pedro Martir, Viveros, Municipio de Ensenada, Baja California, Mexico. Country: Mexico. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.2m12_1.0.xml. Altitude: 2830. Aperture: 2.12.																
	o		o		o		Carnegie Institution for Science 6.5m Landon Clay Telescope at Las Campanas Observatory	Landon T. Clay Telescope at Las Campanas Observatory https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.magellan_clay_6m5_1.0.xml	Carnegie Institution for Science 6.5m Landon Clay Telescope at Las Campanas Observatory. Is part of: las-campanas-observatory. Location: South America. Also known as: Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope, Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO). Code: Magellan:Clay. Continent: South America. Continent code: SA. Size: 6.5m. Waveband: infrared, optical.	Landon T. Clay Telescope at Las Campanas Observatory. Description: The Landon T. Clay telescope is one of a twin pair (with the Walter Baade) located on Cerro Manqui at Las Campanas Observatory. The primary mirror is an f/1.25 parabaloid with a honeycomb internal structure to reduce weight. The telescope optics include active controls, including correction of low-order aberrations by controlling the figure of the primary mirror.. Is part of: las-campanas-observatory. Code: urn:nasa:pds:context:telescope:las_campanas.magellan_clay_6m5. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.magellan_clay_6m5_1.0.xml. Altitude: 2400. Aperture: 6.5.																
	o		?		o?	1 vs 2 telescopes ?	University of Texas, Austin 2.1m Otto Struve Telescope at McDonald Observatory	2.1-m Struve Warner &amp; Swasey reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/mcdonald.struve2m1_1.2.xml	University of Texas, Austin 2.1m Otto Struve Telescope at McDonald Observatory. Is part of: mcdonald-observatory. Latitude: 30.6758212. Location: North America, Hawaii. Longitude: -104.0205838. Also known as: University of Texas, Austin 2.1m Otto Struve Telescope. Code: Struve. Continent: North America. Address: Milky Way, Jeff Davis County, Texas, United States. Country: United States. Size: 2.1m. Waveband: infrared, optical.	2.1-m Struve Warner &amp; Swasey reflector. Description: The 2.1-m Struve Warner &amp; Swasey reflector is a 2.1 m telescope located at 30.671583, 255.977745 at the McDonald Observatory. Instrument Host Overview ======================== McDonald Observatory Otto Struve 2.1m (82in) Telescope The information included here was extracted from the McDonald Observatory web site at: http://mcdonaldobservatory.org/ on 24 April 2002 by A.C.Raugh. Observatory Information ======================= McDonald Observatory is administered by the University of Texas at Austin. Tele. Is part of: mcdonald-observatory. Latitude: 30.671583. Location: Earth. Longitude: 255.977745. Code: urn:nasa:pds:context:telescope:mcdonald.struve2m1. Continent: North America. Address: Jeff Davis County, Texas, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/mcdonald.struve2m1_1.2.xml. Altitude: 2069. Aperture: 2.1.																
	o		o				2.4m Hiltner Telescope at MDM Observatory	2.4-m Hiltner Ritchey-Chretien equatorial reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/mdm.hiltner2m4_1.1.xml	2.4m Hiltner Telescope at MDM Observatory. Is part of: mdm-observatory. Location: North America, Hawaii. Also known as: 2.4m Hiltner Telescope. Code: Hiltner. Continent: North America. Continent code: NA. Size: 2.4m. Waveband: infrared, optical.	2.4-m Hiltner Ritchey-Chretien equatorial reflector. Description: Operational 1985+; Michigan/Dartmouth/MIT tel.. Is part of: mcgraw-hill-observatory. Latitude: 31.950001. Location: Earth. Longitude: 248.383331. Code: urn:nasa:pds:context:telescope:mdm.hiltner2m4. Continent: North America. Address: Arizona 386, Schuk Toak District, Pima County, Arizona, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/mdm.hiltner2m4_1.1.xml. Altitude: 1938. Aperture: 2.4.																
	o		o				Ballistic Missile Defense Organization Midcourse Space Experiment Satellite Mission	Midcourse Space Experiment https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1996-024A https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.msx_1.2.xml https://pds.nasa.gov/data/pds4/context-pds4/investigation/mission.midcourse_space_experiment_1.1.xml https://en.wikipedia.org/wiki/Midcourse_Space_Experiment https://nssdc.gsfc.nasa.gov/nmc/spacecraft/displayTrajectory.action?id=1996-024A https://nssdc.gsfc.nasa.gov/nmc/spacecraft/displayTelemetry.action?id=1996-024A	Ballistic Missile Defense Organization Midcourse Space Experiment Satellite Mission. Location: Space. Also known as: Ballistic Missile Defense Organization (BMDO) Midcourse Space Experiment (MSX) Satellite Mission. Code: MSX. Waveband: infrared.	MIDCOURSE SPACE EXPERIMENT. Description: Instrument Host Overview ======================== The Midcourse Space Experiment (MSX) was a long-duration observatory-style measurement platform that collected of high-quality data on Earth, Earth-limb, celestial background targets, ICBM targets, and resident space objects. MSX was launched in April 1996 into polar orbit, and included a cryogenic infrared scanning radiometer and Fourier-transform spectrometer, several visible and ultraviolet imagers and spectrographic imagers, and set of contamination inst. Has part: midcourse-space-experiment. Is part of: midcourse-space-experiment. Also known as: MSX. Code: urn:nasa:pds:context:instrument_host:spacecraft.msx, urn:nasa:pds:context:investigation:mission.midcourse_space_experiment. Stop date: 1997-02-26 00:00:00. Start date: 1996-04-24 00:00:00. Url: https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.msx_1.2.xml, https://pds.nasa.gov/data/pds4/context-pds4/investigation/mission.midcourse_space_experiment_1.1.xml. Naif id: MSX. MSX. Description: The Midcourse Space Experiment (MSX) was a test project of the Ballistic Missile Defense Organization (BMDO). Its primary purpose was to gather data over a wide-wavelength interval to demonstrate the feasibility of identifying and tracking ballistic missiles during their midcourse flight phase. Its multispectral instruments were capable of obtaining wide band and spectral images in the range of ultraviolet to infrared wavelengths (110 nm to 28,000 nm). The instruments were also utilized for civilian aeronom. Also known as: 23851, urn:nasa:pds:context:instrument_host:spacecraft.msx, Midcourse Space eXperiment. Code: 1996-024A. Ext ref: https://nssdc.gsfc.nasa.gov/nmc/spacecraft/displayTrajectory.action?id=1996-024A, https://nssdc.gsfc.nasa.gov/nmc/spacecraft/displayTelemetry.action?id=1996-024A. Url: https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=1996-024A. Discipline: Engineering, Earth Science, Space Physics, Planetary Science, Astronomy. Funding agency: Department of Defense-Department of the Navy (United States), Air Force Ballistic Missile Defense Organization (United States). Launch date: 1996-04-24 00:00:00. Launch place: Vandenberg AFB, United States. Launch vehicle: Delta II. Mass: 2700 kg. MSX. Uri: https://api.ssodnet.imcce.fr/quaero/1/sso/MSX. Also known as: 1996-024A, 23851. Code: MSX. Parent: Earth. Midcourse Space Experiment. Description: The Midcourse Space Experiment (MSX) is a Ballistic Missile Defense Organization (BMDO) satellite experiment (unmanned space mission) to map bright infrared sources in space. MSX offered the first system demonstration of technology in space to identify and track ballistic missiles during their midcourse flight phase.[1]. Uri: https://wikidata.org/wiki/Q970807. Also known as: . Definition: space observatory. Code: Q970807. Ext ref: https://en.wikipedia.org/wiki/Midcourse_Space_Experiment. Cospar id: 1996-024A. Nssdca id: 1996-024A. Launch date: 1996-04-24 00:00:00+00:00. Launch place: Vandenberg Space Force Base Space Launch Complex 2. Source type: space telescope.																
	x		x			different telescopes on same Ensenada site	National Autonomous University of Mexico 0.84m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir	2.12-m Ritchey-Chretien reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.2m12_1.0.xml	National Autonomous University of Mexico 0.84m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir. Is part of: el-observatorio-astronomico-nacional-sierra-san-pedro-martir. Location: North America, Hawaii. Also known as: National Autonomous University of Mexico (UNAM) 0.84m Telescope, National Autonomous University of Mexico (UNAM) 0.84m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir (OAN/SPM). Code: OANSPM:0.8m. Continent: North America. Continent code: NA. Size: 0.84m. Waveband: infrared, optical.	2.12-m Ritchey-Chretien reflector. Description: The 2.12-m Ritchey-Chretien reflector is a 2.12 m telescope located at 31.043888, 244.536949 at the National Astronomical Observatory-Ensenada. The Instituto de Astronomia at Ensenada, Mexico, operates the 2.1m, Ritchey-Chretien reflector telescope at the Observatorio Astronomico Nacional - San Pedro Martir facility located on the summit of the San Pedro Martir Sierra on the Baja California peninsula of Mexico. Built between 1974 and 1979, the telescope features secondaries of f/7.5, f/13.5, or f/30 and has. Is part of: national-astronomical-observatory-ensenada. Latitude: 31.043888. Location: Earth. Longitude: 244.536949. Code: urn:nasa:pds:context:telescope:ensenada.2m12. Continent: North America. Address: Observatorio San Pedro Martir, Viveros, Municipio de Ensenada, Baja California, Mexico. Country: Mexico. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.2m12_1.0.xml. Altitude: 2830. Aperture: 2.12.																
	o		o			Gemini North	Association of Universities for Research in Astronomy 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory	8.1-m Gemini Ritchey-Chretien altazimuth reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/gemini_north-maunakea.8m1_1.0.xml	Association of Universities for Research in Astronomy 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory. Is part of: mauna-kea-observatory. Location: North America, Hawaii. Also known as: Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory, Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope. Code: Gemini:Gillett. Continent: North America. Continent code: NA. Size: 8.1m. Waveband: infrared, optical.	8.1-m Gemini Ritchey-Chretien altazimuth reflector. Description: The information is adapted from the Gemini website. The Gemini Observatory consists of twin 8.1-meter diameter optical/infrared telescopes located on two of the best observing sites on the planet. From their locations on mountains in Hawai'i and Chile, Gemini Observatory's telescopes can collectively access the entire sky. The Frederick C. Gillett Gemini North telescope is located on Hawaii's Mauna Kea as part of the international community of observatories built to take advantage of the superb atmospheric . Is part of: gemini-north-observatory. Latitude: 19.823807. Location: Earth. Longitude: 204.53096. Code: urn:nasa:pds:context:telescope:gemini_north-maunakea.8m1. Continent: North America. Address: Mauna Kea Observatories, Mauna Kea Access Rd, Hawaiʻi County, Hawaii, 96720, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/gemini_north-maunakea.8m1_1.0.xml. Altitude: 4213. Aperture: 8.1. Coordinate source: Aerial survey - North American (1983) datum.																
	o		o				NSF NOIRLab 4m Victor M. Blanco Telescope at NSF Cerro Tololo Inter-American Observatory	Victor Blanco 4.0m Telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/ctio-cerro_tololo.victorblanco_4m0_1.1.xml	NSF NOIRLab 4m Victor M. Blanco Telescope at NSF Cerro Tololo Inter-American Observatory. Is part of: nsf-cerro-tololo-inter-american-observatory. Location: South America. Also known as: NSF NOIRLab 4m Victor M. Blanco Telescope, NSF NOIRLab 4m Victor M. Blanco Telescope at NSF Cerro Tololo Inter-American Observatory (CTIO). Code: Blanco. Continent: South America. Continent code: SA. Size: 4m. Waveband: infrared, optical.	Victor Blanco 4.0m Telescope. Is part of: cerro-tololo-inter-american-observatory. Latitude: -30.16967. Location: Earth. Longitude: 289.19347. Code: urn:nasa:pds:context:telescope:ctio-cerro_tololo.victorblanco_4m0. Continent: South America. Address: Aceso a Observatorio El Tololo, Quebrada San Carlos, Vicuña, Provincia de Elqui, Coquimbo Region, Chile. Country: Chile. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/ctio-cerro_tololo.victorblanco_4m0_1.1.xml. Altitude: 2200. Aperture: 4.																
	o		o				Astrophysical Research Consortium 3.5m Telescope At Apache Point Observatory	Apache Point Observatory 3.5M ARC Ritchey-Chretien altazimuth reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/apache_point.arc3m5_1.0.xml	Astrophysical Research Consortium 3.5m Telescope At Apache Point Observatory. Location: North America, Hawaii. Also known as: Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO). Code: ARC. Continent: North America. Continent code: NA. Size: 3.5m. Waveband: infrared, optical.	Apache Point Observatory 3.5M ARC Ritchey-Chretien altazimuth reflector. Description: The Astrophysical Research Consortium 3.5-meter telescope is located at the Apache Point Observatory in the Sacramento Mountains in Sunspot, NM. The observatory stands at an altitude of 2788 meters, latitude 32.8 degrees N, and longitude 105.8 degrees W. The ARC 3.5-meter telescope is designed with an altitude-azimuth mount. The primary and secondary mirrors provide a working f/number of 10.4 and an effective focal length of 35238.7 mm. The telescope was designed to host various instruments simultaneously t. Is part of: apache-point-observatory. Latitude: 32.8. Location: Earth. Longitude: 254.2. Code: urn:nasa:pds:context:telescope:apache_point.arc3m5. Continent: North America. Address: Forest Road 64C, Otero County, New Mexico, 88349, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/apache_point.arc3m5_1.0.xml. Altitude: 2788. Aperture: 3.5.																
